pmid	title	abstract
23423954	Cross-resistance to prosulfocarb and triallate in pyroxasulfone-resistant Lolium rigidum.	Plants can rapidly evolve resistance to herbicide in response to repeated selection. This study focuses on cross-resistance patterns observed in Lolium rigidum following pyroxasulfone recurrent selection.
24183287	Effects of in vivo chronic exposure to pendimethalin on EROD activity and antioxidant defenses in rainbow trout (Oncorhynchus mykiss).	Pendimethalin, an herbicide active substance frequently used in terrestrial systems, has detected in European aquatic ecosystems. Reliable indicators still need to be found in order to properly assess the impact of pesticides in fish. After an in vivo chronic exposure to pendimethalin, the detoxification process and the antioxidant defense system were assessed in 120 adult rainbow trout, Oncorhynchus mykiss. Four nominal exposure conditions were tested: control (C), 500 ng L(-1) (P500), 800 ng L(-1) (P800) and the commercial formulation Prowl(®) at 500 ng L(-1) (Pw500). Fish samples were made after a 28 day exposure period (D28) and after a fifteen day recovery period in clean fresh water (D43). At D28, ethoxyresorufin-O-deethylase (EROD) activity was not activated in liver in spite of the pendimethalin uptake in fish. At D43, EROD activity in fish exposed to the commercial product was lower than in control fish, which may be explained by the high presence of herbicide in fish (613±163 ng g bile(-1)). Furthermore, antioxidant defense responses were set up by trout in gills and liver following chronic exposure to 800 ng L(-1) of pendimethalin concentration. While the glutathione content (GSH) decreased in gills, it increased in liver associated with higher activities of glutathione peroxidase (GPx) and superoxide dismutase (SOD). These disturbances could lead to reactive oxygen species production and oxidative stress in the vital organs in fish. After fifteen days in clean water, while the SOD activity was restored, the GSH content and GPx activity were still significantly disturbed in fish exposed to pendimethalin in comparison with control. These significant differences between treatments in antioxidant defenses parameters measured, attesting to the irreversibility of the effects.
24293324	Physiological and oxidative stress biomarkers in the freshwater monosex Nile tilapia, Oreochromis niloticus L., exposed to pendimethalin-based herbicide.	Fish are relatively sensitive to changes in their surrounding environment, including increasing pollution. Therefore, the present study was undertaken to evaluate the impact of contamination with the pendimethalin-based herbicide; Stomp(®) 50% EC (50% pendimethalin as emulsive concentrate) on adults of the monosex Nile tilapia Oreochromis niloticus L. A total of 260 fish with body weights of 90 ± 5.0 g were used in the determination of the 96-h LC50 value and of the impacts of acute exposure to pendimethalin on physiological parameters, and oxidative stress and antioxidant biomarkers. The 96-h median lethal concentration (96-h LC50 ) value of pendimethalin for monosex Nile tilapia was determined as 4.92 mg/L. Abnormal behavioral responses of the fish and the toxic symptoms of pendimethalin exposure are described. Acute exposure to pendimethalin induced leukocytosis, hyperglobulinemia, and hyperglycemia, but resulted in nonsignificant changes in other hemato-biochemical parameters. Moreover, pendimethalin increased lipid peroxidation (LPO) and decreased levels of reduced glutathione and antioxidant enzymes; superoxide dismutase, catalase, and glutathione reductase in both liver and gill tissues, in a time-dependent manner, with maximum alterations observed in the gills rather than the liver. We conclude that although pendimethalin is moderately toxic, it does not cause hepatorenal toxicity. However, this herbicide pollutant induces major disturbances to the antioxidant system; induction of oxidative stress and LPO is the proposed toxicodynamic pathway for such stress.
26513508	A critical review of neonicotinoid insecticides for developmental neurotoxicity.	A comprehensive review of published and previously unpublished studies was performed to evaluate the neonicotinoid insecticides for evidence of developmental neurotoxicity (DNT). These insecticides have favorable safety profiles, due to their preferential affinity for nicotinic receptor (nAChR) subtypes in insects, poor penetration of the mammalian blood-brain barrier, and low application rates. Nevertheless, examination of this issue is warranted, due to their insecticidal mode of action and potential exposure with agricultural and residential uses. This review identified in vitro, in vivo, and epidemiology studies in the literature and studies performed in rats in accordance with GLP standards and EPA guidelines with imidacloprid, acetamiprid, thiacloprid, clothianidin, thiamethoxam, and dinotefuran, which are all the neonicotinoids currently registered in major markets. For the guideline-based studies, treatment was administered via the diet or gavage to primiparous female rats at three dose levels, plus a vehicle control (≥20/dose level), from gestation day 0 or 6 to lactation day 21. F1 males and females were evaluated using measures of motor activity, acoustic startle response, cognition, brain morphometry, and neuropathology. The principal effects in F1 animals were associated with decreased body weight (delayed sexual maturation, decreased brain weight, and morphometric measurements) and acute toxicity (decreased activity during exposure) at high doses, without neuropathology or impaired cognition. No common effects were identified among the neonicotinoids that were consistent with DNT or the neurodevelopmental effects associated with nicotine. Findings at high doses were associated with evidence of systemic toxicity, which indicates that these insecticides do not selectively affect the developing nervous system.
26535579	Relationship between Urinary N-Desmethyl-Acetamiprid and Typical Symptoms including Neurological Findings: A Prevalence Case-Control Study.	Neonicotinoid insecticides are nicotinic acetylcholine receptor agonists used worldwide. Their environmental health effects including neurotoxicity are of concern. We previously determined a metabolite of acetamiprid, N-desmethyl-acetamiprid in the urine of a patient, who exhibited some typical symptoms including neurological findings. We sought to investigate the association between urinary N-desmethyl-acetamiprid and the symptoms by a prevalence case-control study. Spot urine samples were collected from 35 symptomatic patients of unknown origin and 50 non-symptomatic volunteers (non-symptomatic group, NSG, 4-87 year-old). Patients with recent memory loss, finger tremor, and more than five of six symptoms (headache, general fatigue, palpitation/chest pain, abdominal pain, muscle pain/weakness/spasm, and cough) were in the typical symptomatic group (TSG, n = 19, 5-69 year-old); the rest were in the atypical symptomatic group (ASG, n = 16, 5-78 year-old). N-desmethyl-acetamiprid and six neonicotinoids in the urine were quantified by liquid chromatography-tandem mass spectrometry. The detection of N-desmethyl-acetamiprid was the most frequent and highest in TSG (47.4%, 6.0 ppb (frequency, maximum)), followed by in ASG (12.5%, 4.4 ppb) and in NSG (6.0%, 2.2 ppb), however acetamiprid was not detected. Thiamethoxam was detected in TSG (31.6%, 1.4 ppb), in ASG (6.3%, 1.9 ppb), but not in NSG. Nitenpyram was detected in TSG (10.5%, 1.2 ppb), in ASG (6.3%, not quantified) and in NSG (2.0%, not quantified). Clothianidin was only detected in ASG (6.3%, not quantified), and in NSG (2.0%, 1.6 ppb). Thiacloprid was detected in ASG (6.3%, 0.1 ppb). The cases in TSG with detection of N-desmethyl-acetamiprid and thiamethoxam were aged 5 to 62 years and 13 to 62 years, respectively. Detection of N-desmethyl-acetamiprid was associated with increased prevalence of the symptoms (odds ratio: 14, 95% confidence interval: 3.5-57). Urinary N-desmethyl-acetamiprid can be used as a biomarker for environmental exposure to acetamiprid. Further multi-centered clinical research in larger patients groups with more metabolites analysis is needed.
26990785	Molecular Effects of Neonicotinoids in Honey Bees (Apis mellifera).	Neonicotinoids are implicated in the decline of bee populations. As agonists of nicotinic acetylcholine receptors, they disturb acetylcholine receptor signaling leading to neurotoxicity. Several behavioral studies showed the link between neonicotinoid exposure and adverse effects on foraging activity and reproduction. However, molecular effects underlying these effects are poorly understood. Here we elucidated molecular effects at environmental realistic levels of three neonicotinoids and nicotine, and compared laboratory studies to field exposures with acetamiprid. We assessed transcriptional alterations of eight selected genes in caged honey bees exposed to different concentrations of the neonicotinoids acetamiprid, clothianidin, imidacloporid, and thiamethoxam, as well as nicotine. We determined transcripts of several targets, including nicotinic acetylcholine receptor α 1 and α 2 subunit, the multifunctional gene vitellogenin, immune system genes apidaecin and defensin-1, stress-related gene catalase and two genes linked to memory formation, pka and creb. Vitellogenin showed a strong increase upon neonicotinoid exposures in the laboratory and field, while creb and pka transcripts were down-regulated. The induction of vitellogenin suggests adverse effects on foraging activity, whereas creb and pka down-regulation may be implicated in decreased long-term memory formation. Transcriptional alterations occurred at environmental concentrations and provide an explanation for the molecular basis of observed adverse effects of neonicotinoids to bees.
27365127	Exploring the Transition of Human α-Synuclein from Native to the Fibrillar State: Insights into the Pathogenesis of Parkinson's Disease.	The etiology of Parkinson's disease involves the interplay between the environmental and genetic factors. Here in this study human α-synuclein upon exposure to 100 μM pendimethalin for 12 h in vitro passes through a partially folded state which proceeds to the aggregated state and terminally ends in the fibrillar phase. Variations in the ANS fluorescence intensities led to the detection of intermediate and aggregated states at 6 and 10 h respectively. Far-UV CD analysis depicted significant α-helical content for intermediate state at 6 h in presence of 100 μM pendimethalin. Further increasing the incubation time to 12 h resulted in a predominant β-sheet content which was confirmed to be fibrillar by TEM. Turbidity, Rayleigh scattering analysis, Congo red assay and ThT measurements supported the TEM data i.e. the formation of fibrillar structure of human α-synuclein upon 12 h incubation. Thus, our observation could suggest a possible underlying molecular basis for Parkinson's disease. Graphical Abstract Schematic elucidation of the factors involved in the fibrillation of α-Synuclein during Parkinson's pathogenesis.
27375407	In utero and Lactational Exposure to Acetamiprid Induces Abnormalities in Socio-Sexual and Anxiety-Related Behaviors of Male Mice.	Neonicotinoids, a widely used group of pesticides designed to selectively bind to insect nicotinic acetylcholine receptors, were considered relatively safe for mammalian species. However, they have been found to activate vertebrate nicotinic acetylcholine receptors and could be toxic to the mammalian brain. In the present study, we evaluated the developmental neurotoxicity of acetamiprid (ACE), one of the most widely used neonicotinoids, in C57BL/6J mice whose mothers were administered ACE via gavage at doses of either 0 mg/kg (control group), 1.0 mg/kg (low-dose group), or 10.0 mg/kg (high-dose group) from gestational day 6 to lactation day 21. The results of a battery of behavior tests for socio-sexual and anxiety-related behaviors, the numbers of vasopressin-immunoreactive cells in the paraventricular nucleus of the hypothalamus, and testosterone levels were used as endpoints. In addition, behavioral flexibility in mice was assessed in a group-housed environment using the IntelliCage, a fully automated mouse behavioral analysis system. In adult male mice exposed to ACE at both low and high doses, a significant reduction of anxiety level was found in the light-dark transition test. Males in the low-dose group also showed a significant increase in sexual and aggressive behaviors. In contrast, neither the anxiety levels nor the sexual behaviors of females were altered. No reductions in the testosterone level, the number of vasopressin-immunoreactive cells, or behavioral flexibility were detected in either sex. These results suggest the possibility that in utero and lactational ACE exposure interferes with the development of the neural circuits required for executing socio-sexual and anxiety-related behaviors in male mice specifically.
27384818	Occupational Exposure to Pesticides and the Incidence of Lung Cancer in the Agricultural Health Study.	Occupational pesticide use is associated with lung cancer in some, but not all, epidemiologic studies. In the Agricultural Health Study (AHS), we previously reported positive associations between several pesticides and lung cancer incidence.
28385489	Developmental neurotoxicity of different pesticides in PC-12 cells in vitro.	The detection of developmental neurotoxicity (DNT) of chemicals has high relevance for protection of human health. However, DNT of many pesticides is only little known. Furthermore, validated in vitro systems for assessment of DNT are not well established. Here we employed the rat phaeochromocytoma cell line PC-12 to evaluate DNT of 18 frequently used pesticides of different classes, including neonicotinoids, pyrethroids, organophosphates, organochlorines, as well as quaternary ammonium compounds, the organic compound used in pesticides, piperonyl butoxide, as well as the insect repellent diethyltoluamide (DEET). We determined the outgrowth of neurites in PC-12 cells co-treated with nerve growth factor and different concentrations of biocides for 5days. Furthermore, we determined transcriptional alterations of selected genes that may be associated with DNT, such as camk2α and camk2β, gap-43, neurofilament-h, tubulin-α and tubulin-β. Strong and dose- dependent inhibition of neurite outgrowth was induced by azamethiphos and chlorpyrifos, and dieldrin and heptachlor, which was correlated with up-regulation of gap-43. No or only weak effects on neurite outgrowth and transcriptional alterations occurred for neonicotinoids acetamiprid, clothianidin, imidacloprid and thiamethoxam, the pyrethroids λ-cyhalothrin, cyfluthrin, deltamethrin, and permethrin, the biocidal disinfectants C12-C14-alkyl(ethylbenzyl)dimethylammonium (BAC), benzalkonium chloride and barquat (dimethyl benzyl ammonium chloride), and piperonyl butoxide and DEET. Our study confirms potential developmental neurotoxicity of some pesticides and provides first evidence that azamethiphos has the potential to act as a developmental neurotoxic compound. We also demonstrate that inhibition of neurite outgrowth and transcriptional alterations of gap-43 expression correlate, which suggests the employment of gap-43 expression as a biomarker for detection and initial evaluation of potential DNT of chemicals.
28395332	Acetamiprid inhibits testosterone synthesis by affecting the mitochondrial function and cytoplasmic adenosine triphosphate production in rat Leydig cells.	The insecticide acetamiprid is used to control noxious agricultural pests. However, it can cause mammalian toxicity. We evaluated the reproductive toxicity of acetamiprid in adult male Sprague Dawley rats. Rats were given oral acetamiprid alone or with vitamin E for 35 days. Rat plasma testosterone concentration and sperm quality decreased significantly as the levels of luteinizing hormone (LH) increased after exposure. At the same time, acetamiprid increased malondialdehyde and nitric oxide (NO) levels of Leydig cells. Further analysis showed that acetamiprid reduced the adenosine triphosphate (ATP) and cyclic adenosine monophosphate (cAMP) production of Leydig cells, but the expression of luteinizing hormone/choriogonadotropin receptor (LHCGR) and the activity of adenylyl cyclase were not changed. Acetamiprid exposure also significantly diminished protein levels of steroidogenic acute regulatory protein (STAR), hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase cluster (HSD3B), and cytochrome P450, family 11, subfamily a, polypeptide 1 (CYP11A1), and testicular mRNA levels, which are cAMP-dependent proteins that are essential for steroidogenesis. Electron microscopy indicated mitochondrial membrane damage in the Leydig cells of the testes of exposed rats. Vitamin E ameliorated the impairment of acetamiprid on Leydig cells. Our results indicate that acetamiprid causes oxidative stress and mitochondrial damage in Leydig cells and inhibits the synthesis of testicular ATP and cAMP. Acetamiprid disrupts subsequent testosterone biosynthesis by decreasing the rate of conversion of cholesterol to testosterone and by preventing cholesterol from entering the mitochondria within the Leydig cells. These effects caused reproductive damage to the rats.
28980111	Neuroprotective effects of curcumin against acetamiprid-induced neurotoxicity and oxidative stress in the developing male rat cerebellum: biochemical, histological, and behavioral changes.	Curcumin is a molecule found in turmeric root that has anti-inflammatory, antioxidant, and anti-tumor properties and has been widely used as both an herbal drug and a food additive to treat or prevent neurodegenerative diseases. This study aimed to investigate the effect of curcumin on neurobehavioral and neuropathological alterations induced by acetamiprid on male rats. Three groups of ten male Wistar rats each were used for the study: the first was a control group (CTR) that did not consume acetamiprid (ACE); the second was an experimental group (ACE) that consumed 40 mg/kg body weight/day of acetamiprid; and the third group (CUR) received curcumin (100 mg/kg) and acetamiprid (40 mg/kg) in combination. Neurobehavioral evaluations including inclined plane performance and forepaw grip time were studied. Treatment with CUR significantly prevented ACE-treated rats from impairments in the performance of neurobehavioral tests, indicating the presence of deficits on sensorimotor and neuromuscular responses. In addition, Curcumin administration protects rats against acetamiprid-induced cerebellum toxicity such as increase in AChE and BChE activities, decrease on cells viability, oxidative stress, and an increase of intracellular calcium. Taken together, these results demonstrate for the first time that ACE treatment substantially impairs the survival of primary neuronal cells through the induction of necrosis concomitantly with the generation of an oxidative stress. Additionally, curcumin reduced histopathological changes caused by ACE.
29091792	Single and joint toxicity assessment of four currently used pesticides to zebrafish (Danio rerio) using traditional and molecular endpoints.	Pesticides usually present in mixtures in surface waters, although they are traditionally regulated on an individual basis in aquatic ecosystems. In this study, we aimed to investigate the lethal and transcriptional responses of individual and combined pesticides (iprodione, pyrimethanil, pyraclostrobin and acetamiprid) on zebrafish (Danio rerio). Semi-static toxicity test indicated that the greatest toxicity to the four life stages (embryonic, larval, juvenile and adult stages) of D. rerio was detected from pyraclostrobin, followed by iprodione and pyrimethanil. In contrast, the lowest toxicity to the organisms was found from acetamiprid. Most of the selected pesticides exerted greater toxicities to D. rerio of embryonic stage compared with other life stages. Synergistic responses were observed from all binary mixtures of iprodione in combination with pyrimethanil or acetamiprid and ternary mixtures of iprodione+pyraclostrobin in combination with pyrimethanil or acetamiprid. The expressions of 16 genes related to cell apoptosis pathway, oxidative stress response, innate immunity and endocrine disruption at the mRNA level showed that zebrafish embryos were affected by the individual or combined pesticides. The expressions of P53, Tnf, TRβ, Tsh and Cyp19a exhibited greater changes upon exposure to combined pesticides compared with individual pesticides. Taken together, increased toxicity might be triggered by the simultaneous presence of several pesticides in the aquatic environment, which seriously damaged the non-target organisms.
29151145	Pendimethalin induces oxidative stress, DNA damage, and mitochondrial dysfunction to trigger apoptosis in human lymphocytes and rat bone-marrow cells.	Pendimethalin (PM) is a dinitroaniline herbicide extensively applied against the annual grasses and broad-leaved weeds. There is no report available on PM-induced low-dose genotoxicity in human primary cells and in vivo test models. Such data gap has prompted us to evaluate the genotoxic potential of PM in human lymphocytes and rats. PM selectively binds in the minor groove of DNA by forming covalent bonds with G and C nitrogenous bases, as well as with the ribose sugar. PM induces micronucleus formation (MN) in human lymphocytes, indicating its clastogenic potential. Comet assay data showed 35.6-fold greater DNA damage in PM (200 μM)-treated human lymphocytes. Rat bone-marrow cells, at the highest dose of 50 mg/kg b w/day of PM also exhibited 10.5-fold greater DNA damage. PM at 200 μM and 50 mg/kg b w/day induces 193.4 and 229% higher reactive oxygen species generation in human lymphocytes and rat bone-marrow cells. PM-treated human lymphocytes and rat bone-marrow cells both showed dysfunction of mitochondrial membrane potential (ΔΨ <sub>m</sub>). PM exposure results in the appearance of 72.2 and 35.2% sub-G<sub>1</sub> apoptotic peaks in human lymphocytes and rat bone-marrow cells when treated with 200 μM and 50 mg/kg b w/day of PM. Rats exposed to PM also showed imbalance in antioxidant enzymes and histological pathology. Overall, our data demonstrated the genotoxic and apoptotic potentials of PM in human and animal test models.
29168786	Effects of Commonly Used Pesticides in China on the Mitochondria and Ubiquitin-Proteasome System in Parkinson's Disease.	Evidence continues to accumulate that pesticides are the leading candidates of environmental toxins that may contribute to the pathogenesis of Parkinson's disease. The mechanisms, however, remain largely unclear. According to epidemiological studies, we selected nine representative pesticides (paraquat, rotenone, chlorpyrifos, pendimethalin, endosulfan, fenpyroximate, tebufenpyrad, trichlorphon and carbaryl) which are commonly used in China and detected the effects of the pesticides on mitochondria and ubiquitin-proteasome system (UPS) function. Our results reveal that all the nine studied pesticides induce morphological changes of mitochondria at low concentrations. Paraquat, rotenone, chlorpyrifos, pendimethalin, endosulfan, fenpyroximate and tebufenpyrad induced mitochondria fragmentation. Furthermore, some of them (paraquat, rotenone, chlorpyrifos, fenpyroximate and tebufenpyrad) caused a significant dose-dependent decrease of intracellular ATP. Interestingly, these pesticides which induce mitochondria dysfunction also inhibit 26S and 20S proteasome activity. However, two out of the nine pesticides, namely trichlorphon and carbaryl, were found not to cause mitochondrial fragmentation or functional damage, nor inhibit the activity of the proteasome, which provides significant guidance for selection of pesticides in China. Moreover, our results demonstrate a potential link between inhibition of mitochondria and the UPS, and pesticide-induced Parkinsonism.
