pmid	title	abstract
40205596	Treating the individual: moving towards personalised eating disorder care.	Eating disorders (EDs) are complex and heterogeneous conditions, which are often not resolved with conventional, manualised treatments. Arguments for the development of holistic, person-centred treatments accounting for individual variability have been mounting amongst researchers, clinicians and people with lived experience alike. This review explores the transformative potential of personalised medicine in ED care, emphasising the integration of precision diagnostics and tailored interventions based on individual genetic, biological, psychological and environmental profiles. Building on advancements in genomics, neurobiology, and computational technologies, it advocates for a shift from categorical diagnostic frameworks to symptom-based and dimensional approaches. The paper summarises emerging evidence supporting precision psychiatry, including the development of biomarkers, patient-reported outcomes, predictive modelling, and staging models, and discusses their application in ED research and clinical care. It highlights the utility of machine learning and idiographic statistical methods in optimising therapeutic outcomes and identifies key challenges, such as ethical considerations, scalability and implementation.
40205595	A pilot metabolomics study on clear cell renal cell carcinoma.	Clear cell renal cell carcinoma (ccRCC) is fundamentally a metabolic disease. To investigate the underlying metabolite changes in the occurrence of ccRCC, we analyzed untargeted metabolomics of 15 ccRCC samples and paired adjacent non-malignant renal tissues by UHPLC-MS/MS analyses. In this study, 511 differential metabolites were screened, of which the top ten up-regulated metabolites in ccRCC were histamine, 1-methylnicotinamide, L-kynurenine, cortisol, tetrahydrocorticosterone, calcitriol, D-erythrose 4-phosphate, citric acid, sedoheptulose 1,7-bisphosphate, and UDP-alpha-D-galactose, and the top down-regulated metabolites were D-cysteine, acetylcholine, pantothenic acid, cytosine, UMP, biocytin, dUMP, 5-phosphoribosyl 1-pyrophosphate, cytidine-5'-monophosphate, and 16α-hydroxyestrone. KEGG pathways enrichment analysis further demonstrated several highlighted pathways: steroid hormone biosynthesis, pyrimidine metabolism, and vitamin digestion and absorption. Our study reveals metabolic patterns of ccRCC and provides insight into the potential biomarker panel to diagnose ccRCC.
40205594	Therapeutic benefits of acupoint massage at Yuji (LU10) and Zhaohai (KI6) for postoperative hoarseness in thyroid surgery patients.	This study aimed to evaluate the therapeutic efficacy of acupoint massage at Yuji (LU10) and Zhaohai (KI6) in alleviating hoarseness following thyroid surgery.
40205593	Integrative genetic analysis to decode the causal effect of air pollution on accelerated aging.	The relationships between air pollutants and aging remain poorly understood due to the limitations of observational studies.
40205591	Trusted health system implementation strategies to increase vaccination (TRUE SYNERGI): a stepped-wedge cluster randomized trial to reduce HPV-related cancers.	Despite the availability of highly effective HPV vaccines that can reduce HPV-associated cancer mortality, HPV vaccination rates in Texas rank 48th nationwide. Although evidence shows Latino parents are more accepting of HPV vaccination than non-Hispanic parents, this disparity in vaccination rates underscores the importance of understanding Latino parental HPV vaccine hesitancy. Latinos/as typically receive healthcare at Federally Qualified Health Centers (FQHCs), which often need support implementing and improving access to evidence based preventive services. However, the current literature around implementation comes from large integrated healthcare systems and there is limited research around what works in the FQHC settings with Latino/a patients. Preliminary data from our previous work suggest practice facilitation is a feasible approach for building the capacity in FQHCs to select and implement provider- and practice-level strategies for increasing vaccination rates.
40205590	Cardiac symptoms in patients 3-6 months after contracting COVID-19- data from the polish STOP-COVID registry.	Common complaints of long COVID patients are cardiac symptoms such as fatigue, weakness, and a feeling of palpitations. The study aimed to investigate the clinical features of patients with persistent cardiological symptoms occurring within 3 to 6 months after COVID-19. Differences in ambulatory blood pressure monitoring (ABPM), Holter ECG (electrocardiogram) and Echocardiography between people with and without persistent cardiological symptoms were evaluated. We also assessed whether the symptoms of anxiety and depression may be implicated in the clinical outcomes.
40205589	Cervical cancer screening data from the case-based national electronic registry in Bangladesh.	The Government of Bangladesh established a visual inspection with acetic acid (VIA)-based cervical cancer screening programme at 600 primary, secondary and tertiary health facilities following a pilot programme in 2005. An aggregated data collection system was initiated using District Health Information System 2 (DHIS2) software in 2013 and a case-based electronic data registry system was developed utilising its "tracker" component since January 2018. The purpose of this study is to review the cervical cancer surveillance situation based on the data of the national cervical cancer screening, treatment and follow-up through the DHIS2-based electronic registry.
40205588	Metagenomic analysis reveals microbial drivers of heat resistance in dairy cattle.	Heat stress poses a significant challenge to dairy cattle, leading to adverse physiological effects, reduced milk yield, impaired reproduction performance and economic losses. This study investigates the role of the rumen microbiome in mediating heat resistance in dairy cows. Using the entropy-weighted TOPSIS method, we classified 120 dairy cows into heat-resistant (HR) and heat-sensitive (HS) groups based on physiological and biochemical markers, including rectal temperature (RT), respiratory rate (RR), salivation index (SI) and serum levels of potassium ion (K<sup>+</sup>), heat shock protein 70 (HSP70) and cortisol. Metagenomic sequencing of rumen fluid samples revealed distinct microbial compositions and functional profiles between the two groups. HR cows exhibited a more cohesive and functionally stable microbiome, dominated by taxa such as Ruminococcus flavefaciens and Succiniclasticum, which are key players in fiber degradation and short-chain fatty acid production. Functional analysis highlighted the enrichment of the pentose phosphate pathway (PPP) in HR cows, suggesting a metabolic adaptation that enhances oxidative stress management. In contrast, HS cows showed increased activity in the tricarboxylic acid (TCA) cycle, pyruvate metabolism and other energy-intensive pathways, indicating a higher metabolic burden under heat stress. These findings underscore the critical role of the rumen microbiome in modulating heat resistance and suggest potential microbiome-based strategies for improving dairy cattle resilience to climate change.
40205587	AGE induced macrophage-derived exosomes induce endothelial dysfunction in diabetes via miR-22-5p/FOXP1.	Endothelial dysfunction is a pivotal contributor to cardiovascular complications in individuals with diabetes. However, the precise role of macrophages and their exosomes in the diabetic milieu remains elusive.
40205586	The efficacy of an online exercise intervention for improving depressive symptoms among patients with subthreshold depression in primary care: protocol for a randomized controlled trial.	Subthreshold depression is common in primary care and is associated with significant healthcare burden. There is emerging evidence for the benefits of Exercise can reduce depressive symptoms among people with diagnosed depression, but there is limited evidence for subthreshold depression in primary care setting. This study aims to examine the efficacy of a 12-week online instructor-led exercise intervention in reducing depressive symptoms among people with subthreshold depression in primary care, when compared to usual care control.
40205585	Comprehensive assessment of aortic flow before and after aortic valve replacement in an ex-vivo porcine model with four-dimensional flow magnetic resonance imaging.	Aortic valve replacement (AVR) has shown to induce secondary flow patterns deviating from main flow. It is impossible to analyze the impact of surgical access and different AVR techniques under standardized conditions in patients or silicone models. Therefore, we developed an ex-vivo swine model to analyze the impact of surgical access and to compare flow patterns after different AVR-techniques within the ascending aorta.
40205584	Interaction of low-density neutrophils with other immune cells in the mechanism of inflammation.	Low-density neutrophils (LDNs) are a unique subpopulation of neutrophils, play a significant role in regulating innate and adaptive immunity in various inflammation-related diseases. Emerging evidence suggests that LDNs play a significant role in the pathogenesis and progression of various diseases, including infections, autoimmune disorders, and cancer. In this review, we address the origin, development, and heterogeneity of LDNs, and the roles of LDNs in system homeostasis and diseases. We will focus on the findings of the interaction between LDNs and other immune cells. We will then discuss potential novel therapeutic strategies of intervention in diseases by targeting LDNs.
40205583	Single-cell and spatial transcriptomic analyses revealing tumor microenvironment remodeling after neoadjuvant chemoimmunotherapy in non-small cell lung cancer.	Non-small cell lung cancer (NSCLC) represents the most common pathological type of lung cancer, and the combination of neoadjuvant immunotherapy with chemotherapy has emerged as the first-line treatment for NSCLC. Nevertheless, the efficacy of this therapeutic approach remains variable. The present study aims to examine the impact of chemoimmunotherapy in NSCLC patients, with a view to identifying key molecules, critical cell subpopulations, communication patterns and spatial distributions that potentially correlate with therapeutic sensitivity. A total of 16 lung cancer tissue samples were collected from a cohort of 12 NSCLC patients and subjected to single-cell RNA and spatial transcriptome sequencing. Our data demonstrated that the distribution of CD4 + Treg T cells and mCAFs indicated an immunosuppressive tumor microenvironment, while the accumulation of CD4 + Th17 T cells and iCAFs could act as a positive marker for the sensitivity to chemoimmunotherapy. Furthermore, a significant high level of SELENOP-macrophages was observed in tissues from positive responders, and a strong co-localization between SELENOP-macrophages and antigen-presenting cancer associated fibroblasts (CAFs) in the tumor boundaries was identified, indicating the cooperative roles of these two cell types in response to combined therapy. Moreover, SELENOP-macrophages were observed to be accumulated in tertiary lymphoid structures, which further suggested its critical role in recruiting lymphocytes. Furthermore, analysis of cell-cell communication, based on spatial transcriptomics, suggests that the interactions between SELENOP-macrophages, apCAFs, CD4 + and CD8 + T cells were significantly enhanced in responders. In addition, SELENOP-macrophages recruited CD4 + Naïve, Helper and CD8 + Naïve T cells through pathways such as the cholesterol, interleukin, chemokine and HLA when responding to combined therapy. The present study further unveils the dynamic spatial and transcriptional changes in the tumor microenvironment of non-small cell lung cancer in response to combination therapy.
40205582	Looking into opportunities for maternity continuum of care improvement within the primary health care system in Northwest Ethiopia: primary health care-oriented research.	The maternity continuum of care (MCC) is an integral component of universal health coverage and a crucial strategy for reducing maternal and neonatal mortality. Despite its importance, MCC coverage remains low in low- and middle-income countries (LMICs), including Ethiopia, which bear the highest burden of maternal and neonatal mortality. This underscores the need for proactive interventions. In this perspective, the primary health care (PHC) approach holds significant potential for enhancing MCC. Exploring demand- and/or supply-side opportunities for improving MCC within the PHC system could help inform policy, practice, and further research. However, there is limited evidence on these aspects in Ethiopia. Therefore, this study aims to explore demand- and/or supply-side opportunities for MCC enhancement within the PHC system in northwest Ethiopia.
40205580	Performance of Xpert MTB/RIF and acid-fast bacilli smear microscopy for the diagnosis of pulmonary tuberculosis using bronchoalveolar lavage samples in negative or sputum-scarce adults in Colombia: a retrospective diagnostic accuracy study.	Limited literature exists on the diagnostic yield of traditional and molecular tuberculosis (TB) tests using bronchoalveolar lavage (BAL) specimens in high burden South American countries. The aim of the study is to determine the value of acid-fast bacilli (AFB) smear microscopy and Xpert MTB/RIF using BAL samples for diagnosing pulmonary TB (PTB) in negative or sputum-scarce adults.
40205579	Social media-based bibliotherapy for improving the mental health of informal caregivers of people with dementia: a randomized controlled trial.	Despite their own experience of mental health issues, informal caregivers of individuals with dementia are often overlooked, and there is a limited availability of community services tailored specifically for them. A self-help intervention, bibliotherapy, shows promise as an intervention to enhance the mental well-being of caregivers in resource-constrained settings, and social media has demonstrated its efficacy as a user-friendly platform for delivering health interventions. However, the efficacy of social media-based bibliotherapy remains untested.
40205578	Airway inflammation, bronchial hyperresponsiveness, and anti-asthma therapy responses in cough variant asthma and classic asthma with FEV<sub>1</sub>% ≥80% predicted.	To explore the differentiation of airway inflammation, bronchial hyperresponsiveness and anti-asthma therapy responses between the cough variant asthma (CVA) and classic asthma (CA) patients with FEV<sub>1</sub>% ≥80% predicted.
40205577	IGF2BP2: an m<sup>6</sup>A reader that affects cellular function and disease progression.	Insulin-like growth factor 2 messenger RNA (mRNA)-binding protein 2 (IGF2BP2) is a widely studied N<sup>6</sup>-methyladenosine (m<sup>6</sup>A) modification reader, primarily functioning to recognize and bind to m<sup>6</sup>A modification sites on the mRNA of downstream target genes, thereby enhancing their stability. Previous studies have suggested that the IGF2BP2-m<sup>6</sup>A modification plays an essential role in cellular functions and the progression of various diseases. In this review, we focus on summarizing the molecular mechanisms by which IGF2BP2 enhances the mRNA stability of downstream target genes through m<sup>6</sup>A modification, thereby regulating cell ferroptosis, epithelial-mesenchymal transition (EMT), stemness, angiogenesis, inflammatory responses, and lipid metabolism, ultimately affecting disease progression. Additionally, we update the related research progress on IGF2BP2. This article aims to elucidate the effects of IGF2BP2 on cell ferroptosis, EMT, stemness, angiogenesis, inflammatory responses, and lipid metabolism, providing a new perspective for a comprehensive understanding of the relationship between IGF2BP2 and cell functions such as ferroptosis and EMT, as well as the potential for targeted IGF2BP2 therapy for tumors and other diseases.
40205576	The cost of delivering COVID-19 vaccines in Mozambique: a bottom-up costing study.	Vaccines were a key tool in controlling the COVID-19 pandemic. However, the cost of delivering these vaccines in low- and middle-income countries was highly uncertain, due to the unprecedented delivery volume and the need to reach new target populations. To fill this evidence gap, this study estimates the cost of delivering COVID-19 vaccines in Mozambique.
40205575	The impact of academic anxiety on smartphone addiction among college students: the mediating role of self-regulatory fatigue and the moderating role of mindfulness.	Academic anxiety is recognized as a risk factor of smartphone addiction among college students. However, the underlying mechanisms and moderating factors remain insufficiently explored.
40205574	Associations of peripheral blood lymphopenia to disease course, treatment and TNF-α in sarcoidosis.	Severe sarcoidosis has been associated with peripheral blood (PB) total lymphopenia and high tumour necrosis factor α (TNF-α) levels, and the lymphopenia phenotype seems to respond poorly to conventional treatment. However, the mechanisms behind PB lymphopenia and its correlation with TNF-α levels remain unclear. Understanding the connections among PB lymphocyte subsets, TNF-α and clinical phenotype including treatment status could offer insights into how to individualize therapy.
40205573	The impact of insulin requirement on mortality and morbidity in non-diabetic covid-19 patients in the intensive care unit: A retrospective, observational study.	COVID-19 ranges from asymptomatic cases to severe disease with high mortality. Corticosteroids are crucial in treatment, reducing mortality and morbidity. However, the use of corticosteroids poses additional challenges in maintaining glycemic control in COVID-19 patients This study aims to eva-luate the impact of insulin requirement on mortality and morbidity in non-diabetic ICU patients and investigate its correlation with disease severity.
40205572	Intimate partner violence and post-migration stressors reported by refugee women accessing settlement services.	Intimate partner violence (IPV) is highly prevalent globally, with increased risk for women in situations of conflict, post conflict and resettlement. The Safety and Health after Arrival (SAHAR) study tested IPV screening with women accessing settlement services in New South Wales, Australia, using the validated ACTS tool, along with brief response involving risk assessment, safety planning and referral. A three month follow-up telephone survey was administered to women who had attended four participating sites which delivered the intervention. The survey explored the nature of any IPV experienced, factors associated with disclosure, and responses provided to those who identified IPV. Data is reported on 316 women of whom 48 (15%) identified current IPV. For 45 women who responded to Composite Abuse Scale items, the most common forms of abuse were forced isolation from family/friends (56% 25/45), blame for abusive behaviour (53% 24/45), "put downs" (44% 20/45) and physical violence 38% (17/45). Psychological distress and post-migration stressors were significantly higher for women who disclosed IPV compared to those who did not. Length of residency in Australia and whether the screening occurred during the first or subsequent service visits, were not associated with the likelihood of disclosing IPV. The majority of women who disclosed reported the caseworker's response to be helpful and involved risk assessment, safety planning and referral. Screening and response to disclosure in settlement services provide opportunities to address abuse experienced by this group of women who are less likely to report experiences of abuse or use mainstream services.
40205571	Translation, cross-cultural adaptation, and validation of the Chinese version of the injury-psychological readiness to return to sport scale.	The Injury-Psychological Readiness to Return to Sport (I-PRRS) scale has demonstrated acceptable reliability and validity in American English, Dutch, Italian, Persian, French, Spanish, and Portuguese, however, its adaptation to the Chinese remains unexplored. Therefore, this study aimed to translate the I-PRRS scale into Chinese (I-PRRS-Ch) and validate its cross-cultural adaptation.
40205570	Relationship between the timing of physical therapy commencement and the duration of work disability: a retrospective cohort analysis of work-related low back pain claims.	Early physical therapy for workers reporting low back pain (LBP) may reduce disability and improve return to work. This study aimed to explore the relationship between the timing of physical therapy commencement and the duration of work disability after the onset of compensable LBP.
40205569	Vector-borne pathogens in dogs from the Republic of Kosovo.	Canine vector-borne pathogens (CVBP) are transmitted by arthropod vectors such as ticks, fleas, mosquitoes, and phlebotomine sand flies and are of global veterinary and medical importance. Dogs are important reservoir hosts, which may develop potentially life-threatening clinical signs. The Balkan area harbors diverse vector fauna and associated CVBPs, and data, particularly from the Republic of Kosovo, are scarce. Considering the high number of stray and privately owned dogs primarily kept outside, living in close contact with dogs might promote spillover of zoonotic pathogens to human populations. To combat these diseases, a One Health approach is required. Therefore, our study molecularly analyzed samples of dogs for CVBP.
40205568	Efficacy of a four-drug combined regimen compared to uterine curettage in the treatment of incomplete medical abortion: a prospective observational study.	To investigate the clinical efficacy of the combined regimen of four drugs (drospirenone and ethinylestradiol tablets (II), mifepristone, misoprostol, and Xinshenghua granules) for the treatment of incomplete medical abortion (MA).
40205567	How has the integration of midwives into primary healthcare settings impacted access to care? A qualitative descriptive study from Ontario, Canada.	Most primary health care settings in Canada do not offer midwifery care. Midwifery remains poorly understood in Canada by some members of the public and healthcare providers.
