mid	title	abstract
40076830	Euphraticanoids N-T: Aromadendrane-Type Diterpenes and Sesquiterpenes with Fungicidal Activities from <i>Populus euphratica</i> Resins.	Seven previously undescribed terpenoids, including five prenylaromadendrane-type diterpenes euphraticanoids N-R (<b>1</b>-<b>5</b>) and two aromadendrane-type sesquiterpenes, euphraticanoids S and T (<b>6</b> and <b>7</b>), were isolated from <i>Populus euphratica</i> resins. Their structures, including their absolute configurations, were elucidated by HRESIMS and spectroscopic analysis, ECD calculations, and crystallographic methods. In addition, an evaluation of the fungicidal activities of compound <b>1</b> was carried out, resulting in the discovery of <b>1</b> as a fungicidal candidate lead compound with an EC<sub>50</sub> of 15.7 and 68.6 mg/L against <i>Curvularia mebaldsii</i> and <i>Fusarium graminearum</i>, respectively.
40076801	A Leg Cuticle Protein Enhances the Resistance of <i>Anopheles sinensis</i> Mosquitoes to Deltamethrin.	Insecticide resistance in mosquitoes has become a severe impediment to global vector control and manifests as decreased insecticide effectiveness. The role of target site mutations and detoxification enzymes as resistance markers has been documented in mosquitoes; however, the emergence of complex resistant phenotypes suggest the occurrence of additional mechanisms. Cuticular proteins (CPs) are key constituents of the insect cuticle, and play critical roles in insect development and insecticide resistance. In this study, via electron microscopy we observed that the leg cuticle thickness in deltamethrin-resistant (DR) <i>Anopheles sinensis</i> mosquitoes was significantly greater than that measured in deltamethrin-susceptible (DS) <i>An. sinensis</i>. Transcription analysis revealed that cuticle proteins were enriched in the legs, including members of the CPR, CPAP, and CPF families. Further comparisons revealed the specific overexpression of four CP genes in the legs of DR <i>An. sinensis</i>; whose expression levels increased after treatment with deltamethrin. The RNAi-mediated silencing of one CP gene, <i>AsCPF1</i>, resulted in a significant decrease in the leg cuticle thickness of DR mosquitoes and significantly elevated the mortality rate when exposed to deltamethrin. These findings suggest that alterations in the <i>An. sinensis</i> leg cuticle contribute to the insecticide resistance phenotype. <i>AsCPF1</i> is thereby a target study molecule for investigation of its mode of action, and broader attention should be paid to the role of mosquito legs in the development of insecticide resistance.
40076704	Rotenone Induces Parkinsonism with Constipation Symptoms in Mice by Disrupting the Gut Microecosystem, Inhibiting the PI3K-AKT Signaling Pathway and Gastrointestinal Motility.	Parkinson's disease (PD) is one of the most common neurodegenerative diseases. Constipation is a prodromal symptom of PD. It is important to investigate the pathogenesis of constipation symptoms in PD. Rotenone has been successfully used to establish PD animal models. However, the specific mechanism of rotenone-induced constipation symptoms is not well understood. In this work, we found that constipation symptoms appeared earlier than motor impairment in mice gavaged with a low dose of rotenone (30 mg/kg·BW). Rotenone not only caused loss of dopaminergic neurons and accumulation of α-synuclein, but also significantly reduced serum 5-HT levels and <i>5-HTR4</i> in the striatum and colon. The mRNA expression of aquaporins, gastrointestinal motility factors (<i>c-Kit</i>, <i>Cx43</i>, <i>smMLCK</i> and <i>MLC-3</i>) in mouse colon was also significantly regulated by rotenone. In addition, both colon and brain showed rotenone-induced inflammation and barrier dysfunction; the PI3K/AKT pathway in the substantia nigra and colon was also significantly inhibited by rotenone. Importantly, the structure, composition and function of the gut microbiota were also significantly altered by rotenone. Some specific taxa were closely associated with motor and constipation symptoms, inflammation, and gut and brain barrier status in PD mice. <i>Akkermansia</i>, <i>Staphylococcus</i> and <i>Lachnospiraceae_UCG</i>-<i>006</i> may play a role in exacerbating constipation symptoms, whereas <i>Acinetobacter</i>, <i>Lactobacillus</i>, <i>Bifidobacterium</i>, <i>Solibacillus</i> and <i>Eubacterium_xylanophilum</i>_groups may be beneficial in stimulating gastrointestinal peristalsis, maintaining motor function and alleviating inflammation and barrier damage in mice. In conclusion, low-dose rotenone can cause parkinsonism with constipation symptoms in mice by disrupting the intestinal microecosystem and inhibiting the PI3K-AKT pathway and gastrointestinal motility.
40076644	Theoretical Study on the Metabolic Mechanism of Heptachlor in Human Cytochrome P450 Enzymes.	Heptachlor (HEP) is an insecticide metabolized by cytochrome P450 (CYP) enzymes in the human liver, resulting in the formation of heptachlor epoxide (HEPX). HEPX can persist in the human body for a long duration. Therefore, it can be extremely harmful. A comprehensive understanding of HEP's metabolic fate may provide a theoretical basis for mitigating associated hazards. However, the specific human CYP isoforms that metabolize HEP, and their metabolic mechanisms, remain unclear. In this study, eight human CYP isoforms were used as catalytic enzymes to investigate the metabolic mechanism of HEP using molecular docking, molecular dynamics simulations, and quantum mechanical calculations. These results indicate that HEP primarily binds to CYP enzymes through hydrophobic interactions, and that the binding positions of HEP are determined by the composition and shape of the hydrophobic pockets near the active site. Based on the reaction distance, CYP2A6, CYP3A4, and CYP3A5 were the only three enzymes that could metabolize HEP. The epoxidation of HEP catalyzed by the doublet state of compound I was effectively concerted, and the rate-determining step was the electrophilic attack of the oxygen atom on HEP. The energy barriers of the rate-determining step vary significantly among different enzymes. A comparison of these energy barriers suggested that CYP3A5 is the most likely enzyme for HEP catalysis in humans.
40076481	Application of Biomimetic Chromatography and QSRR Approach for Characterizing Organophosphate Pesticides.	Biomimetic chromatography is a powerful tool used in the pharmaceutical industry to characterize the physicochemical properties of molecules during early drug discovery. Some studies have indicated that biomimetic chromatography may also be useful for the evaluation of toxicologically relevant molecules. In this study, we evaluated the usefulness of the biomimetic chromatography approach for determining the lipophilicity, affinity to phospholipids, and bind to plasma proteins of selected organophosphate pesticides. Quantitative structure-retention relationship (QSRR) models were proposed to understand the structural features that influence the experimentally determined properties. ACD/labs, Chemicalize, and alvaDesc software were used to calculate theoretical descriptors. Multilinear regression was used as the regression type, and feature selection was supported by a genetic algorithm. The obtained QSRR models were validated internally and externally, and they demonstrated satisfactory performance with key statistical parameters ranged from 0.844 to 0.914 for R<sup>2</sup> and 0.696-0.898 for R<sup>2</sup><sub>ext</sub>, respectively, indicating good predictive ability.
40076478	Omics Approaches in Understanding Insecticide Resistance in Mosquito Vectors.	In recent years, the emergence of insecticide resistance has been a major challenge to global public health. Understanding the molecular mechanisms of this phenomenon in mosquito vectors is paramount for the formulation of effective vector control strategies. This review explores the current knowledge of insecticide resistance mechanisms through omics approaches. Genomic, transcriptomic, proteomic, and metabolomics approaches have proven crucial to understand these resilient vectors. Genomic studies have identified multiple genes associated with insecticide resistance, while transcriptomics has revealed dynamic gene expression patterns in response to insecticide exposure and other environmental stimuli. Proteomics and metabolomics offer insights into protein expression and metabolic pathways involved in detoxification and resistance. Integrating omics data holds immense potential to expand our knowledge on the molecular basis of insecticide resistance in mosquitoes via information obtained from different omics platforms to understand regulatory mechanisms and differential expression of genes and protein, and to identify the transcription factors and novel molecules involved in the detoxification of insecticides. Eventually, these data will help construct predictive models, identify novel strategies, and develop targeted interventions to control vector-borne diseases.
40076387	Pyridoxal and Salicylaldehyde Derivatives: Synthesis, Characterization, and Antifungal Potential Against Opportunistic Yeast Pathogens.	This study reports the synthesis, characterization, and antifungal evaluation of a series of pyridoxal and salicylaldehyde derivatives, using synthetic methodologies such as radical cyclizations and click chemistry. Compounds <b>6a</b> and <b>6b</b>, featuring a fused dihydrobenzoxepine-pyridine scaffold, demonstrated effective fungicidal activity with MIC values of 19 µg/mL against <i>Cryptococcus neoformans</i> 2807. Similarly, compound <b>6b</b> exhibited notable activity with a MIC of 75 µg/mL against <i>Candida auris</i> PUJ-HUSI 537. Both compounds outperformed fluconazole (FLC) in these strains. In silico ADMET profiling revealed favorable pharmacokinetic properties, including blood-brain barrier penetration and drug-likeness parameters consistent with Lipinski's rule of five. Cytotoxicity assays on human fibroblasts confirmed the low toxicity of compound <b>6a</b> at the tested concentrations. These results highlight the potential of the fused dihydrobenzoxepine-pyridine scaffold as a promising antifungal candidate for further investigations.
40076325	Heterocyclic Antidepressants with Antimicrobial and Fungicide Activity.	In this review, the presence of antimicrobial and fungicidal activity in heterocyclic antidepressants was investigated. The already proven connection between the intestinal microbiome and mental health prompted the idea of whether these drugs disrupt the normal intestinal microflora. In addition, there is a serious problem of increasing resistance of microorganisms to antibiotics. In this article, we found that almost all of the antidepressants considered (except moclobemide, haloperidol, and doxepin) have antimicrobial activity and can suppress the growth of not only pathogenic microorganisms but also the growth of bacteria that directly affect mental health (such as <i>Lactobacillus</i>, <i>Lactococcus</i>, <i>Streptococcus</i>, <i>Enterococcus</i>, and <i>Bifidobacterium</i>).
40076304	Synthesis, Characterization, and Evaluation of the Antifungal Properties of 3-Indolyl-3-Hydroxy Oxindole Derivatives Against Plant Pathogenic Fungi.	To discover novel fungicides with good inhibitory effects on plant fungal diseases, twenty-five 3-indolyl-3-hydroxy oxindole derivatives (3a-3y) were synthesized. These newly derivatives were characterized by NMR and HRMS. Their antifungal activities against five plant pathogenic fungi were assessed in vitro. Most of the compounds exhibited moderate to excellent antifungal activities against the five pathogenic fungi. Notably, compounds <b>3t</b>, <b>3u</b>, <b>3v</b>, and <b>3w</b> displayed remarkable and broad-spectrum antifungal activities comparable to or superior to those of the fungicides carvacrol (CA) and phenazine-1-carboxylic acid (PCA). Among them, compound <b>3u</b> displayed the most excellent antifungal activity against <i>Rhizoctonia solani</i> Kühn (<i>R. solani</i>), with an EC<sub>50</sub> of 3.44 mg/L, which was superior to CA (7.38 mg/L) and PCA (11.62 mg/L). Preliminary structure-activity relationship (SAR) results indicated that the introduction of I, Cl, or Br substituents at position 5 of the 3-hydroxy-2-oxindole and indole rings is crucial for compounds to exhibit good antifungal activity. The in vivo antifungal activity assay showed that compound 3u has good curative effects against <i>R. solani</i>. The current results suggest that these compounds are capable of serving as promising lead compounds.
40076259	Chemical Composition and Larvicidal Activity Against <i>Aedes aegypti</i> of the Leaf Essential Oils from <i>Croton blanchetianus</i>.	The <i>Aedes aegypti</i> mosquito is the primary vector of dengue, a neglected disease and a serious public health problem in tropical countries. The control of this vector has been carried out using chemical insecticides, which impact human health. Thus, it is essential to develop natural larvicides that are less harmful to the environment. This study investigates the circadian cycle and larvicidal activity of essential oils from <i>Croton blanchetianus</i> against <i>Aedes aegypti</i>. The leaf oils were extracted by hydrodistillation and analyzed by GC-MS and GC-FID. The circadian study revealed variations in the chemical composition of oils extracted at different times of the day. The main constituents were <i>α-pinene</i>, <i>β-phellandrene</i>, <i>eucalyptol</i>, <i>β-caryophyllene</i>, <i>bicyclogermacrene</i>, and <i>spathulenol</i>. The larvicidal activity showed LC<sub>50</sub> values at the following different collection times: 55.294 ± 3.209 μg/mL at 08:00 h; 95.485 ± 2.684 μg/mL at 12:00 h; and 64.883 ± 1.780 μg/mL at 17:00 h. Molecular docking simulations indicated that <i>α-pinene</i>, <i>β-phellandrene</i>, <i>eucalyptol</i>, and <i>β-caryophyllene</i> strongly interact with the active site of the sterol carrier protein, suggesting their role in larvicidal activity. These findings reinforce the potential of <i>C. blanchetianus</i> essential oils as an alternative for <i>Aedes aegypti</i> control. The predictive pharmacokinetic tests showed a PAMPA profile associated with high effective cellular permeability and microsomal stability, resulting from the metabolic stability of the derivatives (3) <i>eucalyptol</i> and (6) <i>spathulenol</i>, indicating that these compounds have the highest pharmacokinetic viability and low reactivity with respect to organ toxicity.
40076252	Endophytic Fungal Diversity and Its Interaction Mechanism with Medicinal Plants.	This paper reviewed the diversity of endophytic fungi and their interactions with medicinal plants, along with the research methodologies utilized to investigate these interactions. It mainly includes the diversity of endophytic fungi, as well as distribution diversity, species diversity, and the diversity of their metabolites and functions, including antibacterial, anti-inflammatory, anti-tumor, insecticidal, antioxidant capabilities, and so on. The research methodologies employed to investigate the interactions between endophytic fungi and medicinal plants are categorized into metagenomics, transcriptomics, metatranscriptomics, proteomics, and metabolomics. Furthermore, this study anticipates the potential applications of secondary metabolites derived from endophytic fungi in both medicine and agriculture.
40076248	Essential Oil from <i>Curcuma Longa</i> Leaves: Using Nanotechnology to Make a Promising Eco-Friendly Bio-Based Pesticide from Medicinal Plant Waste.	Nano-emulsions of essential oils (EO) and their chemical constituents are promising raw materials for the ecological control of <i>Tribolium castaneum</i>. <i>Curcuma longa</i> L. is a plant known for the properties of its rhizome, which is used in food, health, and hygiene products. Although its leaves are considered by-products with no commercial value, they produce an essential oil rich in bioactive monoterpenoids. This study aims to evaluate the repellency of nano-emulsions containing the EO from leaves of <i>C. longa</i> or its three main chemical constituents against <i>T. castaneum</i>. The representative mixture of EO extracted in four different months showed <i>p</i>-cymene (26.0%), 1,8-cineole (15.1%), and terpinolene (15.5%) as major compounds. Nano-emulsions of EO (HLB 16.7), terpinolene (HLB 15.0), 1,8-cineole (HLB15.0), and <i>p</i>-cymene (HLB 15.0) were repellent at concentrations of 11 μg/cm<sup>2</sup> (EO, terpinolene, and <i>p</i>-cymene) and 1.1 μg/cm<sup>2</sup> (1,8-cineole). The EO nano-emulsion droplet size increased linearly over time, remaining below 300 nm for 35 days. The EO nano-emulsion proved to be a green alternative to synthetic pesticides, as it was safe against the bioindicator <i>Chlorella vulgaris</i>. Furthermore, its main constituents were able to inhibit in silico the enzyme telomerase of <i>T. castaneum</i>, which is an enzyme essential for life. This study provides ideas for the utilization of EO from leaves of <i>C. longa</i> as raw material for new environmentally friendly plant-derived nanobiopesticides.
40076246	Study on Design, Synthesis and Herbicidal Activity of Novel 4-Amino-6-(5-Aryl-Substituted-1-Pyrazolyl)-3-Chloro-5-Fluoro-2-Picolinic Acids.	6-Aryl-2-picolinic acid herbicides are an important subclass of auxin herbicides, characterized by their good absorption and conductivity, broad weed control spectrum, and excellent herbicidal activity against some resistant weeds. Based on previous studies from our group and the distinct characteristics of physico-chemical properties and biological activities of active skeleton structure containing fluorine atoms, this paper introduces the design and synthesis of 41 novel 4-amino-6-(5-aryl-substituted-1-pyrazolyl)-3-chloro-5-fluoro-2-picolinic acid compounds. The test of inhibiting <i>A. thaliana</i> roots growth showed that most of the <b>S</b>-series compounds exhibited superior inhibitory effects compared to picloram, with six compounds demonstrated even better inhibitory capability than the new herbicidal molecule florpyrauxifen. For example, compound <b>S202</b>, at a concentration of 0.5 µmol/L, exhibited a 78.4% inhibition of <i>A. thaliana</i> root growth, whereas florpyrauxifen showed only a 33.8% inhibition. Root growth inhibition tests on weeds showed that 28 compounds, at a concentration of 250 µM, demonstrated a greater than 80% inhibition of <i>Brassica napus</i> (BN) root growth. Post-emergence herbicidal activity tests showed that most compounds exhibited good inhibitory effects on broadleaf weeds, with 10 compounds achieving a 100% inhibition of the growth of <i>Amaranthus retroflexus L</i> (AL). These results demonstrate that some of the 4-amino-6-(5-aryl-substituted-1-pyrazolyl)-3-chloro-5-fluoro-2-picolinic acid compounds could be used as potential lead structures in the discovery of novel synthetic auxin herbicides.
40075477	Through the eyes of the participant: using photovoice to understand the experiences and effects of ivermectin MDA in the context of the BOHEMIA clinical trial in Kwale, Kenya.	Assessing the acceptability of new malaria control interventions in clinical trials can be complex due to the need for strict ethical standards and specific trial procedures. While in-depth interviews and focus group discussions can provide useful insights, a more participatory method of data collection which complements these methods is photovoice. Photovoice offers a unique approach, empowering participants to share their experiences and perceptions on their own terms. Photovoice was employed alongside the BOHEMIA clinical trial (a trial investigating the safety and efficacy of ivermectin mass-drug administration (MDA) for malaria control) to explore participants' views on the trial and the effects of the intervention on individuals and communities.
40075468	Model development to assess the impact of a preventive treatment with sarolaner and moxidectin on Dirofilaria immitis infection dynamics in dogs.	Dirofilaria immitis is a mosquito-transmitted filarial parasite causing heartworm disease in dogs. The parasite may cause a significant disease burden to the dog population in high prevalence areas and is mainly managed through prophylactic treatments.
40075381	Household predictors of malaria episode in northern Uganda: its implication for future malaria control.	Uses of indoor residual spraying (IRS), long-lasting insecticidal nets (LLINS) and treatment with artemisinin-based combination therapy (ACT) are greatly promoted in the northern part of Uganda as mitigating strategies for malaria episodes. Unfortunately, the region remains the fourth highest malaria burden in Uganda with a prevalence of 12%. This study assesses household predictors of malaria episodes in northern Uganda and their impact on malaria episodes at the household level.
40075265	Dual role of KHCO₃ priming: reduces seed-borne pathogens on sorghum seeds and promotes seed germination.	Seed-borne diseases have seriously affected the sustainability of sorghum cultivation in China as the demand for organic products in the winemaking industry has limited the use of chemical fungicides.
40075079	Critical review of the potential effects and risks to pollinators and aquatic organisms from the agricultural uses of sulfoxaflor; introductory comments.	The first paper in a series of seven serves as an overview of the initiation of the insecticide Sulfoxaflor Environmental Science review process and provides some regulatory background. The following papers are a series and describe a critical analysis of the data related to sulfoxaflor in terms of its uses, properties, environmental fate, and potential effects on aquatic organisms, and pollinators. The last paper describes a refined model for hazard and risk assessment of pesticides in pollinators.
